album_link	album_name	author	release_date	count	language	label	category	rate	rate_info	genre	song_count	song_link	song_name	song_count	lyrics
https://www.xiami.com/album/2103424952	弧光	彭海桐	2017.12.24	24000	国语	环球唱片	录音室专辑	9.1	(11人评分)	#国语流行 Mandarin Pop	10	https://www.xiami.com/song/1801101303	分手的街口	901	"十月的风轻轻吹过无人的街口
淡淡幽香伴着蔷薇笑着在点头
那时我们
曾经十指紧扣走过喧闹的灯火
天黑了你紧紧靠着我
二月的歌又再回荡在那个街口
你已飞到陌生城市拥挤的人流
如果给你一次可以重新面对
自己的选择
你会不会依然面红炙热
你说你说我们决定
分手以后结果会如何
哭过以后我要抱着回忆
难过是否还值得
沉默划过我胸口
在我左右 静静刺痛我
怔怔走过无声的街口
像在提醒我
曾经你说想要给我
童话故事完美的结果
醒了以后
我要抱着回忆难过就算还值得
承诺划过我心口
在你眼中 遗忘了对错
只想记得你在分手的街口
吻过我

二月的歌又再回荡在那个街口
你已飞到陌生城市拥挤的人流
如果给你一次可以重新面对
自己的选择
你会不会依然面红炙热
我们决定分手以后结果会如何
哭过以后
我要抱着回忆难过是否还值得
沉默划过我胸口
在我左右 静静刺痛我
怔怔走过无声的街口
像在提醒我
曾经你说想要给我童话故事
完美的结果
醒了以后
我要抱着回忆难过就算还值得
承诺划过我心口
在你眼中 遗忘了对错
只想记得你在分手的街口
吻过我
收起"
https://www.xiami.com/album/2102972677	空想	宋宇航	2017.12.11	252000	国语	果儿音乐	录音室专辑	9.7	(26人评分)	#国语流行 Mandarin Pop、#华语唱作人 Chinese Singer-Songwriter	7	https://www.xiami.com/song/1798147414	神经兮兮	1755	"词/曲：宋宇航
制作人：陈晓磊
编曲：陈晓磊
吉他：胡晨
贝斯：张赛龙
鼓：盛雄轩
和声：陈晓磊
录音室 ：“雨黎音乐工作室”
录音师：许扬
乐器录音室：“Mega wave 响鼓录音室”
录音师：罗颢夫
混音师：吴涛
母带：Ryan Smith (美国)

对面的男孩 你鞋子上又脏了一块
你牵的女孩 表情有一点怪
是不是你说的话太奇怪 她太无奈
所以你不如把她交到我的手上
搞不好比你合得来

隔壁的阿呆 在公园长椅躺的悠哉
他脑子太呆 健忘的比较快
要怪就怪他小时候跑太快 摔成痴呆
好吧我是说着笑的你不要太理睬

反正你经常跟人说我神经兮兮
每次晒点吃的我都马上到
他也说我神经兮兮
动不动就半夜打电话给你
写的歌也神经兮兮
隔壁邻居说我再唱就报警
我知道自己神经兮兮
但你能把我怎么

隔壁的阿呆 在公园长椅躺的悠哉
他脑子太呆 健忘的比较快
要怪就怪他小时候跑太快 摔成痴呆
好吧我是说着笑的你不要太理睬

反正你经常跟人说我神经兮兮
每次晒点吃的我都马上到
他也说我神经兮兮
动不动就半夜打电话给你
写的歌也神经兮兮
隔壁邻居说我再唱就报警
我知道自己神经兮兮
但你能把我怎么

（和声）
跟人说我神经兮兮
他也说我神经兮兮
跟人说我神经兮兮
他也说我神经兮兮
但你能把我怎么样

跟人说我神经兮兮
每次晒点吃的我都马上到
他也说我神经兮兮
动不动就半夜打电话给你
写的歌也神经兮兮
隔壁邻居说我再唱就报警
我知道自己神经兮兮
但你能把我怎么
收起"
https://www.xiami.com/album/2102961794	今年三十出头	王帮仁	2017.11.26	84000	国语	独立发行	录音室专辑	0.0	（评分人数不足10人）	#国语流行 Mandarin Pop、#电音流行 Electropop	2	https://www.xiami.com/song/1798014770	今年三十出头	69000	"今年三十出头



演唱:王帮仁
今年我三十出头
就是没有女朋友
看着别人手牵手
心里感觉酸溜溜
尤其是到了晚上
我一个人更难受
眼泪不停的往下流
只好抱着花枕头
不是我不爱你
可惜你妈不同意
她说我没啥出息
不让我俩在一起
男人要顶天立地
努力奋斗要争气
打拼几年荣归故里
一定会来把你娶
今年我三十出头
就是没有女朋友
看着别人手牵手
心里感觉酸溜溜
尤其是到了晚上
我一个人更难受
眼泪不停的往下流
只好抱着花枕头
不是我不爱你
可惜你妈不同意
她说我没啥出息
不让我俩在一起
男人要顶天立地
努力奋斗要争气
打拼几年荣归故里
一定会来把你娶
妹妹等我别心急
哥哥永远只爱你
收起"
https://www.xiami.com/album/2102901718	No.13 作品：跳舞的梵谷	孙燕姿	2017.11.08	9717000	国语	环球唱片	录音室专辑	9.6	(1645人评分)	#国语流行 Mandarin Pop	10	https://www.xiami.com/song/1797189722	超人类	480000	"我不是植物 只需浇水照顾
也不是猪 只打呼
坚持要像主角般演出
就算有 失误 也要 自己 谢幕
要吃饱喝足 再走自己的路
记得自己 很特殊
把撞墙 的角度
解释成 行为艺术
突然想当 超人类
特写跌倒 的感觉
却总担心 头皮屑
担心超市面膜 卖太贵
亲爱的你 不懂我
的风格就请你 别翻页
我不特别 不另类
但是绝对热血
站大街 冷风吹
有些累 也不退

无聊的情绪 全当成是落叶
拿起扫把 扫成堆
闭上嘴 不喊累
去解决 我来面对
突然想当 超人类
回到童年 的感觉
可乐没气 很无味
当初的梦厚厚 一整叠
青春你要 自己写
那白纸黑字 到底爱过谁
人生故事 不倾斜
要工整的知道 那结尾
喷点香水 去逛大街
去喜欢谁 喔谢谢
撒娇就对 多练几次
熟了就会 喔谢谢
渴了喝水 累了就睡
有爱就给 喔谢谢
时间很宝贵 别浪费
偶尔微醉 赖皮一些
让梦来回 喔谢谢
拿铁咖啡 适合熬夜
将爱跨界 喔谢谢
继续续杯 故事情节
重点特写 喔谢谢
所谓开心 自己体会
突然想当 超人类
特写跌倒 的感觉
却总担心 头皮屑
担心超市面膜 卖太贵
亲爱的你 不懂我
的故事就请你 别翻页
我不特别 不另类
但是绝对热血
给的爱 不收回 不胆怯 很对味
收起"
https://www.xiami.com/album/2102877368	2017十月动漫新番歌曲合集Vol.3	Kyle Xian	2017.10.20	93000	纯音乐	独立发行	录音室专辑	0.0	（评分人数不足10人）	#日本流行 J-Pop、#轻音乐 Easy Listening、#日本动漫游戏 Japanese ACG	12	https://www.xiami.com/song/1796904961	亡命之徒	35000	"No lyrics available"
https://www.xiami.com/album/2102863017	C'mon in~	陈奕迅	2017.10.08	1538000	国语	环球唱片	录音室专辑	8.6	(320人评分)	#国语流行 Mandarin Pop	10	https://www.xiami.com/song/1796806369	零下几分钟	172000	"想念像蚊子神出鬼没
咬我一口但我没喊痛
走过地铁白烟纽约寒冬
走不过 心中的黑洞

我呼吸 吸不到需要的热
沿路上飘来爵士老歌
老先生 带着孩子等车
我在这

零下几分钟 把时光暂停了
把找不到路的我给冰冻
这时间地点 对于我这游客 只等于寂寞

可乐拌饭了几天以后
忘了住这旅馆第几周
混乱的世界加一公克寂寞
成就了 最完美的心痛

没关系 事情没那么严重
不就是爱念了莫名的咒
人的心 脆弱得像个气球
被狠狠戳破

零下几分钟 时代广场之中
我数不清的记忆咆哮着
冷风加音乐 是双倍的折磨 享受的人是我

要或不要都没用 Oh Oh

零下几分钟 把时光暂停了
把找不到路的我给冰冻
这时间地点 对于我这游客 只等于寂寞

零下几分钟 时代广场之中
数不清的记忆咆哮着
冷风加音乐 天知道 享受的是我
要或不要都没用 Oh Oh


监制：Jerald Chan
OP：Gotta Music admin by East Asia Music Publishing Ltd. (SP: Universal Music Publishing Ltd.) /
FEI XING SHI YOU XIAN GONG SI (Warner/Chappell Music Taiwan Ltd.) (SP: Warner/Chappell Music, H.K. Ltd.)
ISRC：HKJ631701009
收起"
https://www.xiami.com/album/2102865639	那时窗外开满花	王金金	2017.09.27	2096000	国语	金势力文化	录音室专辑	9.1	(22人评分)	#国语流行 Mandarin Pop	9	https://www.xiami.com/song/1796830023	重生之前	6418	"喧闹的机场陌生的肩膀
眼前人来人往

命运多虚妄脚步多匆忙
我和旧的皮箱前往新的地方

时间一点一点模糊他的脸
流着血的伤疤回忆都走远

关于他的一切在脑海周旋
只会让这脚步变得太牵连

说了再见转身就再也不见
故事给了我无声的回响
眼泪涌出眼眶

雨后已晴朗爱恨都散场
我将背着行囊前往未知远方

时间一点一点模糊他的脸
流着血的伤疤回忆都走远

那些灰了的天在重生之前
带着笑再走回这人群中间
带着重生的心走进了明天

时间一点一点模糊他的脸
流着血的伤疤回忆都走远

那些灰了的天在重生之前
带着笑再走回这人群中间
带着重生的心走进了明天
收起"
https://www.xiami.com/album/2102862560	刀剑神域	Kyle Xian	2017.09.23	146000	纯音乐	独立发行	录音室专辑	9.8	(12人评分)	#日本流行 J-Pop、#轻音乐 Easy Listening、#日本动漫游戏 Japanese ACG	9	https://www.xiami.com/song/1796803626	IGNITE	17000	"No lyrics available"
https://www.xiami.com/album/2102859617	C哩C哩	薛帅磊	2017.08.31	4278000	纯音乐	独立发行	录音室专辑	9.9	(39人评分)	#电音流行 Electropop	1	https://www.xiami.com/song/1796783279	C哩C哩（Remix）	4278000	"Daca nici asa nu-ti place
Ia mai zboara-n Panama
Zile zile zile zile alerg
Mile mile mile mile pe maidan
Pentru tine tine sa-ti dau un dar dar
Cel mai de pret pret fara nici un ban ban
Ganja iarba sunt inutile tile
Numai tu stii sa-mi dai aripile pile
In Jamaica sau in chile chile
Inima face boom boom numai pentru tine
Eee eee eee eee eee eeee
Numai pentru tine
Eee eee eee eee eee eeee
N-ai raspuns la telefon
No problem te scot pe balcon
Si-o sa vezi cu ochii tai
Cum ti-aduc flori un camion
Si iti cant asa cu chitara mea
Daca nici asa nu-ti place
Ia mai zboara-n Panama

Kile kile kile kile eu am dat jos
Oricum baby nu erau de folos-los
Mi-e dor de tine sunt intors pe dos dos
Acasa ajung la timp tre' sa o iau pe jos jos
La ce ne folosesc banii banii banii
Daca tu imi dai iubire si zi de zi pun anii
Ca Bonnie and Clyde sa fiu doar eu cu tine
Si o sa avem o iubire ca in filme
Ee ee ee ee
O iubire ca in filme
Ee ee ee ee e
N-ai raspuns la telefon
No problem te scot pe balcon
Si-o sa vezi cu ochii tai
Cum ti-aduc flori un camion
Si iti cant asa cu chitara mea
Daca nici asa nu-ti place
Ia mai zboara-n Panama
Ce pana mea
Aa aa aa aa mai zboara-n Panama
Aa aa aa aa cavatlate sivada
Aa aa aa aa mai zboara-n Panama
收起"
https://www.xiami.com/album/2102781440	独自空	魏孟波	2017.07.10	536000	国语	星途音乐	录音室专辑	0.0	（评分人数不足10人）	#国语流行 Mandarin Pop、#流行 Pop	3	https://www.xiami.com/song/1796409536	追光者（英文版）	283000	"If you say you’re the firework at the bay

I wish I could be a wave

after the rain, you light up the gray

far away you’re the galaxy from space

with the stars you kiss my face

I’ll go everywhere after your trace

when I’m lonely l willearntoembrace

I’ll follow you along the way

like shadow chasing down the flame

I’ll wait for you right on your way

come and stay with me if you may

I’ll raise my head and look your way

tears dropping down and feeling free

Some love comes by like hurricane

as if I play your losing game

If you’re like firefly in summer haze

Children laugh around your grace

Then I’ll be there, trying to say out your name

Look at me, what a tiny helpless me

Only dream when you smile at me

Maybe you wouldn’t stop just for me

Far behind let me stand there singing

I’ll follow you along the way

like shadow chasing down the flame

I’ll wait for you right on your way

come and stay with me if you may

I’ll raise my head and look your way

tears dropping down and feeling free

Some love comes by like hurricane

but rainbows rise

I’ll follow you along the way

like shadow chasing down the flame

I’ll wait for you right on your way

come and stay with me if you may

I’ll raise my head and look your way

tears dropping down and feeling free

Some love comes by like hurricane

but rainbows rise after the pain
收起"
