album_link	album_name	author	release_date	count	language	label	category	rate	rate_info	genre	song_count	song_link	song_name	song_count	lyrics
https://www.xiami.com/album/2102967242	兄弟没梦不应该	拍谢少年	2017.11.30	66000	国语	StreetVoice	录音室专辑	9.7	(19人评分)	#摇滚 Rock & Roll	8	https://www.xiami.com/song/1798115091	输赢囥一边	2076	"稀微的人是决心欲离开矣
漂浪的情是犹原一个人行啊
故乡序细是永远袂记得我
无缘的你 请叫我无情份的人
彼个梦暂时的形影
我感觉遗憾已经过去矣
日子咧过是感觉欢喜随人
小可啉落 平凡也是快活
我感觉人生的戏弄

已经是春天 这款的天气渐渐惯势
经过了最近的日子 酒共拍开
希望伊转来阮的身边 伫阮的身边
就算啊 一寡人情世事拢总毋捌
你嘛袂按怎 爱好好生活
怨叹啊 社会是是非非无人作伴
酒共啉予干 假作醉茫茫

酒共全部倒予滇 这是咱的志气
毋知啥物时阵阁再拄着你
故事全部讲予你 这是咱的义气
凡势无人了解你的过去
酒共啉予去 输赢囥一边
酒共啉予去 输赢囥一边
收起"
https://www.xiami.com/album/2102704855	身躯就是最坚硬的金属	窒息乐队	2017.10.09	307000	国语	独立发行	录音室专辑	8.3	(12人评分)	#摇滚 Rock & Roll	10	https://www.xiami.com/song/1796859944	殉葬	2314	"No lyrics available"
https://www.xiami.com/album/2103710978	卡通人物	茄子蛋	2017.07.27	6883000	国语	KKFARM	录音室专辑	9.1	(29人评分)	#独立摇滚 Indie Rock、#另类摇滚 Alternative Rock	10	https://www.xiami.com/song/1803069901	Outro	14000	"快捡起你的小毛驴唷
快离开那个小白痴唷
快拔走你的大荆棘唷
快分享那个大道理唷
快进去你的小房间唷
快拿刀切烂我的心唷
快唱歌你这肮脏的人
快唱歌我这肮脏的人
快捡起你的小毛驴唷
快离开那个小白痴唷
快拔走你的大荆棘唷
快分享那个大道理唷
快进去你的小房间唷
快拿刀切烂我的心唷
快唱歌你这肮脏的人
快唱歌我这肮脏的人
快捡起你的小毛驴唷
快离开那个小白痴唷
快拔走你的大荆棘唷
快分享那个大道理唷
快进去你的小房间唷
快拿刀切烂我的心唷
快唱歌你这肮脏的人
快唱歌我这肮脏的人
快捡起你的小毛驴唷
快离开那个小白痴唷
快拔走你的大荆棘唷
快分享那个大道理唷
快进去你的小房间唷
快拿刀切烂我的心唷
快唱歌你这肮脏的人
快唱歌我这肮脏的人
快捡起你的小毛驴唷
快离开那个小白痴唷
快拔走你的大荆棘唷
快分享那个大道理唷
快进去你的小房间唷
快拿刀切烂我的心唷
快唱歌你这肮脏的人
快唱歌我这肮脏的人
快捡起你的小毛驴唷
快离开那个小白痴唷
快拔走你的大荆棘唷
快分享那个大道理唷
快进去你的小房间唷
快拿刀切烂我的心唷
快唱歌你这肮脏的人
快唱歌我这肮脏的人
快捡起你的小毛驴唷
快离开那个小白痴唷
快拔走你的大荆棘唷
快分享那个大道理唷
快进去你的小房间唷
快拿刀切烂我的心唷
快唱歌你这肮脏的人
快唱歌我这肮脏的人
收起"
https://www.xiami.com/album/2102765902	钗娜	福禄乐队	2017.06.15	228000	国语	独立发行	录音室专辑	9.5	(13人评分)	#摇滚 Rock & Roll	10	https://www.xiami.com/song/1795981000	最后一个巴图鲁	4743	"不是妖怪 肩膀上一个脑袋
却能上九天揽月 下海去五洋捉鳖
不是圣贤 也不是混混不吝
仗义每从屠狗辈 负心都是读书人
四海之内 有豪情皆是我辈
管你是推车担担 还是那贵人达官
奸人当道 还个个自称是爷
上炕不认识娘们 下炕不认识破鞋

人人人生俱在棋盘内
富贵荣华身外带不走
不为后世儿孙做马牛

啊 喝最烈的酒
啊 艳阳高高照在我的头
啊 不平的尘途
啊 还有我最后的一个巴图鲁 

独善自身 我四两拨了千斤
大仙儿母老虎和狗 管什么阴谋阳谋
笑我疯癫 我又红又专又man
古来圣贤多寂寞 你归海我归桃源

狼叼猪，狗咬羊，孩子掉井，找茅房。
天上云、地上霜、姑娘的屁股、白砂糖
朝天椒、独瓣蒜、仰脸泼妇、低头汉
铺着地，盖着天，海里洗澡，枕着山
收起"
https://www.xiami.com/album/2102740554	MEKROP 细菌	细菌乐队	2017.05.04	5326	其他	Badhead	EP、单曲	0.0	（评分人数不足10人）	#后朋克 Post-Punk	2	https://www.xiami.com/song/1795841439	幻影	2111	"No lyrics available"
https://www.xiami.com/album/2102675259	无感人	热斑	2017.03.16	633000	国语	独立发行	录音室专辑	8.3	(35人评分)	#独立摇滚 Indie Rock、#另类摇滚 Alternative Rock	11	https://www.xiami.com/song/1795656346	或许不在我身边	10000	"爱情或许不在我身边
也许我并不值得怀念
爱情或许不在我身边
世界也不会为我改变

爱情会不会在我身边
我想在没有你的房间
爱情会不会在我身边
你最害怕要实现诺言
不要忘记我
不要忘记我
不要忘记我
忘记我们的一切
不要忘记我
不要忘记我
不要忘记我
忘记我们的一切
不要忘记我
不要忘记我
不要忘记我
忘记我们的一切
不要忘记我
不要忘记我
不要忘记我
忘记我们的一切

爱情开始不在我身边
也许我并不值得怀念
爱情会不会在我身边
你最害怕要实现诺言
不要忘记我
不要忘记我
不要忘记我
忘记我们的一切
不要忘记我
不要忘记我
不要忘记我
忘记我们的一切
不要忘记我
不要忘记我
不要忘记我
忘记我们的一切
不要忘记我
不要忘记我
不要忘记我
忘记我们的一切
忘记我们的一切
忘记我们的一切
爱情会不会在我身边
忘记我们的一切
爱情或许不在我身边
忘记我们的一切
收起"
https://www.xiami.com/album/2102704866	Bitter Setback	雾虹	2017.03.01	190000	国语	Breed Records	录音室专辑	9.4	(14人评分)	#迷幻摇滚 Psychedelic Rock	11	https://www.xiami.com/song/1795600070	A Sudden Hit of Deep Depression	44000	"No lyrics available"
https://www.xiami.com/album/2103462936	钢铁之家	张连春	2017.12.25	52	国语	北京新虎音乐制作有限公司	录音室专辑	0.0	（评分人数不足10人）	#流行摇滚 Pop Rock	1	https://www.xiami.com/song/1801344087	钢铁之家—海口市钢材经营行业协会会歌	52	"钢铁之路
作词\作曲\编曲：张连春

有的人 迷茫等待
有的人 黯然离开
有的人 执着坚守
海钢人 领跑未来

忆往昔 岁月如歌
再回首 风雨蹉跎
海口钢协 我们的家
海钢人 放飞你我

水一样的沉稳 火一样的热情
钢一般的质朴 铁一般的厚重
肩并着肩手牵着手结伴前行
向着美好明天我们步伐坚定

大海之南 一方热土
从无到有 几经起伏
不忘初心 漫漫征途
守得云开 复兴钢铁之路
海口钢协 我们的家
凝心聚力 团结你我他
海口钢协 我们的家
一起携手共筑金色年华
钢铁之家
收起"
https://www.xiami.com/album/2103463449	铃儿响叮当	JuednM	2017.12.23	3093	纯音乐	独立发行	录音室专辑	0.0	（评分人数不足10人）	#摇滚 Rock & Roll	1	https://www.xiami.com/song/1801347424	铃儿响叮当	3078	"No lyrics available"
https://www.xiami.com/album/2103680740	Escalfando	Haiku	2017.12.20	8	英语	看见音乐 (上海)	录音室专辑	0.0	（评分人数不足10人）	#流行摇滚 Pop Rock	7	https://www.xiami.com/song/1802906768	Fuera los huaraches	0	"No lyrics available"
